,lat,lng,address,plus_code
0,-26.0526995,28.02048,"William Nicol Dr &, Wedgewood Link Rd, Bryanston, Sandton, 2191, South Africa",5G5CW2WC+W5
1,-26.053957,28.0213478,"2929 William Nicol Dr, Bryanston, Johannesburg, 2021, South Africa",5G5CW2WC+CG
2,-26.0513064,28.0203955,"Cnr. Wedge Park Road and William Nicol Drive, Bryanston, Johannesburg, 2191, South Africa",5G5CW2XC+F5
